"index" "Data" "Hora" "ID_antigo" "ID_novo" "revisor" "plotID" "qdID" "Dupla" "Especie.com.Certeza" "Palpite.Especie" "Nome.Cientifico" "Genero" "Familia" "Subordem" "Ordem" "Classe" "Enviar.Especialista" "Lat" "Lon" "Alt" "Precision" "ErrorCoor" "Exclude" "Foto.Toda.Carcaca" "Foto.Toda.Carcaca.1" "Foto.Cabeca.de.Frente" "Foto.Cabeca.de.Frente.1" "Foto.Cabeca.de.Lado" "Foto.Cabeca.de.Lado.1" "Foto.da.Pata" "Foto.da.Pata.1" "Outra.Foto1" "Outra.Foto1.1" "Outra.Foto2" "Outra.Foto2.1" "Carcaca.Coletada." "Tecido.Coletado." "Observacoes" "X_id" "X_uuid" "X_submission_time" "X_validation_status" "kobo_index" "form_kobo" "start" "end" "Coordenada.da.carcaca"
130 "09/10/2020" "08:33:00.000-03:00" "PTQ_0831" "PTQ6_0831" "Ingridi" "PTQ6" "181" "Dupla1" "Anta" "Anta" "Tapirus terrestris" "Tapirus" "Tapiridae" "" "Perissodactyla" "Mammalia" "não" -16.618276 -56.261144 133 3.200000048 "" "" "16022467461168422181700060236707-9_32_33.jpg" "Foto Toda Carcaca" "1602246760232268826692277607682-9_32_51.jpg" "Foto Cabeca Frente" "16022467769362669758593497998999-9_33_6.jpg" "Foto Cabeca Lado" "16022468557455985363051423827352-9_34_39.jpg" "Foto da Pata" "" "Sem Foto" "" "Sem Foto" "Não" "Sim" "" 69917788 "08a14cc3-7b4d-49c7-9f7e-70cd5c8c00a1" "2020-10-10T17:59:17" "" 144 "dusma" "2020-10-09T09:31:25.601-03:00" "2020-10-09T09:34:45.184-03:00" "-16.618276 -56.261144 133 3.200000047683716"
151 "10/10/2020" "07:36:00.000-04:00" "PTQ3_0743" "PTQ3_0743" "Guilherme" "PTQ3" "190" "Dupla2" "Puma concolor" "" "Puma concolor" "Puma" "Felidae" "" "Carnivora" "Mammalia" "" -16.65507014 -56.24464519 123.1 267.151001 "corrigida" "" "16023297539262949993648795776269-7_36_20.jpg" "Foto Toda Carcaca" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "Sim" "Sim" "" 69917935 "13b00920-d5fe-4c79-be5e-31914e2d7b37" "2020-10-10T18:00:24" "" 161 "dusma" "2020-10-10T07:33:34.986-04:00" "2020-10-10T07:37:05.077-04:00" "-16.654595 -56.24509 123.1 267.1510009765625"
152 "10/10/2020" "07:47:00.000-04:00" "PTQ3_0745" "PTQ3_0745" "Guilherme" "PTQ3" "190" "Dupla2" "Anta" "Anta" "Tapirus terrestris" "Tapirus" "Tapiridae" "" "Perissodactyla" "Mammalia" "não" -16.65507014 -56.24464519 123.1 267.151001 "corrigida" "" "16023304020161324903376799109492-7_47_13.jpg" "Foto Toda Carcaca" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "Não" "Sim" "" 69917941 "d4204f80-940a-4f37-8b55-87b5b0315a9a" "2020-10-10T18:00:25" "" 162 "dusma" "2020-10-10T07:37:05.367-04:00" "2020-10-10T07:47:45.475-04:00" "-16.654595 -56.24509 123.1 267.1510009765625"
153 "10/10/2020" "07:49:00.000-04:00" "PTQ3_0747" "PTQ3_0747" "Guilherme" "PTQ3" "190" "Dupla2" "Anta" "Anta" "Tapirus terrestris" "Tapirus" "Tapiridae" "" "Perissodactyla" "Mammalia" "não" -16.655486 -56.244802 128 7.352000237 "" "" "16023305369881826913105778022859-7_49_12.jpg" "Foto Toda Carcaca" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "Não" "Não" "" 69917942 "56a0c075-653f-4b19-b309-5853ad1badfb" "2020-10-10T18:00:26" "" 163 "dusma" "2020-10-10T07:47:45.697-04:00" "2020-10-10T07:55:10.931-04:00" "-16.655486 -56.244802 128 7.3520002365112305"
165 "10/10/2020" "08:11:00.000-04:00" "PTQ4_0809" "PTQ4_0809" "Guilherme" "PTQ4" "190" "Dupla1" "Tamanduá-mirim" "" "Tamandua tetradactyla" "Tamandua" "Myrmecophagidae" "" "Pilosa" "Mammalia" "" -16.653258 -56.245022 121.4 1 "" "" "16023318237783930871831377293108-8_10_29.jpg" "Foto Toda Carcaca" "16023318341763519646105552780213-8_10_42.jpg" "Foto Cabeca Frente" "16023318523472310433655819666843-8_11_3.jpg" "Foto Cabeca Lado" "16023318665693392407631740111086-8_11_17.jpg" "Foto da Pata" "" "Sem Foto" "" "Sem Foto" "Não" "Sim" "" 69940445 "93caff2a-f9b8-4038-8dab-f17ccdf3434e" "2020-10-10T22:20:07" "" 176 "dusma" "2020-10-10T08:09:16.999-04:00" "2020-10-10T08:11:33.283-04:00" "-16.653258 -56.245022 121.4 1"
177 "10/10/2020" "08:13:00.000-04:00" "PTQ3_0811" "PTQ3_0811" "Guilherme" "PTQ3" "190" "Dupla1" "Anta" "Anta" "Tapirus terrestris" "Tapirus" "Tapiridae" "" "Perissodactyla" "Mammalia" "não" -16.65525 -56.244721 117.7 2.400000095 "" "" "16023319087801851270066-8_12_46.jpg" "Foto Toda Carcaca" "" "Sem Foto" "16023320022001436251519-8_13_31.jpg" "Foto Cabeca Lado" "" "Sem Foto" "16023319748521035462220-8_13_9.jpg" "Outra Foto 1" "" "Sem Foto" "Não" "Não" "" 69940927 "4c94d4b9-6961-4c17-a436-bc44abeb207b" "2020-10-10T22:29:27" "" 188 "dusma" "2020-10-10T08:11:06.882-04:00" "2020-10-10T08:13:46.896-04:00" "-16.65525 -56.244721 117.7 2.4000000953674316"
178 "10/10/2020" "16:24:00.000-04:00" "P3743_16.24" "P13720_1624" "Fernando" "P13720" "190" "Dupla2" "Caititu" "Caititu" "Pecari tajacu" "Pecari" "Tayassuidae" "" "Artiodactyla" "Mammalia" "sim" -16.657048 -56.239444 125 3.21600008 "" "" "16023613567463933830234510228739-16_22_46.jpg" "Foto Toda Carcaca" "" "Sem Foto" "16023613880892253577284945678521-16_23_50.jpg" "Foto Cabeca Lado" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "Não" "Não" "" 70277686 "f3a89f08-5139-4712-998f-3d4f5898e550" "2020-10-13T17:49:06" "" 204 "dusma" "2020-10-10T16:20:39.972-04:00" "2020-10-10T16:24:54.200-04:00" "-16.657048 -56.239444 125 3.2160000801086426"
179 "11/10/2020" "06:39:00.000-03:00" "P8205_0639" "P8205_0639" "Guilherme" "P8205" "179" "Dupla2" "Tamanduá-mirim" "" "Tamandua tetradactyla" "Tamandua" "Myrmecophagidae" "" "Pilosa" "Mammalia" "" -16.658065 -56.254884 130 7.665999889 "" "" "1602409084580-1581471002-6_38_15.jpg" "Foto Toda Carcaca" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "IMG_20201011_063831764-6_43_8.jpg" "Outra Foto 1" "IMG_20201011_063851879-6_42_59.jpg" "Outra Foto 2" "Não" "Sim" "" 69983281 "5eeb8384-40db-49be-9ba5-b8264ff85dd7" "2020-10-11T13:44:40" "" 189 "dusma" "2020-10-11T06:37:11.702-03:00" "2020-10-11T06:43:13.523-03:00" "-16.658065 -56.254884 130 7.665999889373779"
180 "11/10/2020" "06:48:00.000-03:00" "P8205_0648" "P8205_0648" "Guilherme" "P8205" "179" "Dupla1" "Tamanduá-mirim" "" "Tamandua tetradactyla" "Tamandua" "Myrmecophagidae" "" "Pilosa" "Mammalia" "" -16.658044 -56.254849 132 5.665999889 "" "" "16024096681831832359415-6_48_3.jpg" "Foto Toda Carcaca" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "Não" "Sim" "" 69983282 "a793fa17-4f7e-4504-bc08-e42102e7a910" "2020-10-11T13:44:42" "" 190 "dusma" "2020-10-11T06:43:14.008-03:00" "2020-10-11T06:48:38.734-03:00" "-16.658044 -56.254849 132 5.665999889373779"
183 "11/10/2020" "07:48:00.000-04:00" "P8191_0747" "P8191_0747" "Guilherme" "P8191" "179" "Dupla1" "Cutia" "" "Dasyprocta azarae" "Dasyprocta" "Dasyproctidae" "" "Rodentia" "Mammalia" "" -16.654205 -56.255685 120.2 1 "" "" "16024168591194837818165081879441-7_47_45.jpg" "Foto Toda Carcaca" "" "Sem Foto" "" "Sem Foto" "16024168757749102077044895755822-7_48_20.jpg" "Foto da Pata" "" "Sem Foto" "" "Sem Foto" "Sim" "Não" "" 70012495 "091b9172-ef08-4400-a5e2-c5e9e43b18fb" "2020-10-11T20:42:33" "" 193 "dusma" "2020-10-11T07:47:04.982-04:00" "2020-10-11T07:48:48.405-04:00" "-16.654205 -56.255685 120.2 1"
